Date,Close,chg(close),Low,chg(low),High,chg(high)
09/02/2021 23:58,72.41,1.38,70.34,0.49,72.83,1.08
09/03/2021 23:58,71.98,-0.43,71.78,1.44,73.02,0.19
09/07/2021 23:58,71.06,-0.92,70.49,-1.29,72.25,-0.77
09/08/2021 23:58,71.82,0.76,70.95,0.46,72.23,-0.02
09/09/2021 23:58,70.79,-1.03,70.21,-0.74,72.4,0.17
09/10/2021 23:58,72.26,1.47,70.31,0.1,72.42,0.02
9/13/2021 23:58:00,72.9,0.64,72.04,1.73,73.27,0.85
9/14/2021 23:58:00,72.97,0.07,72.49,0.45,73.6,0.33
9/15/2021 23:58:00,74.78,1.81,73.14,0.65,75.42,1.82
9/16/2021 23:58:00,74.98,0.2,73.84,0.7,75.18,-0.24
9/17/2021 23:58:00,74.56,-0.42,73.93,0.09,75.07,-0.11
9/20/2021 23:58:00,73.07,-1.49,72.65,-1.28,74.6,-0.47
9/21/2021 23:58:00,73.57,0.5,72.5,-0.15,74.34,-0.26
9/22/2021 23:58:00,75.39,1.82,73.72,1.22,75.45,1.11
9/23/2021 23:58:00,76.46,1.07,74.81,1.09,76.53,1.08
9/24/2021 23:58:00,77.23,0.77,76.07,1.26,77.4,0.87
9/27/2021 23:58:00,78.72,1.49,77.42,1.35,79.04,1.64
9/28/2021 23:58:00,78.35,-0.37,77.31,-0.11,79.94,0.9
9/29/2021 23:58:00,78.09,-0.26,76.77,-0.54,78.74,-1.2
9/30/2021 23:58:00,78.31,0.22,76.5,-0.27,79.31,0.57
10/01/2021 23:58,79.28,0.97,77.57,1.07,79.41,0.1
10/04/2021 23:58,81.26,1.98,78.76,1.19,82,2.59
10/05/2021 23:58,82.56,1.3,81.2,2.44,83.11,1.11
10/06/2021 23:58,81.08,-1.48,80.59,-0.61,83.44,0.33
10/07/2021 23:58,81.95,0.87,79.08,-1.51,82.5,-0.94
10/08/2021 23:58,82.39,0.44,81.96,2.88,83.43,0.93
10/11/2021 23:58,83.65,1.26,82.56,0.6,84.6,1.17
10/12/2021 23:58,83.42,-0.23,82.72,0.16,84.23,-0.37
10/13/2021 23:58:00,83.18,-0.24,82.21,-0.51,83.69,-0.54
10/14/2021 23:58:00,84,0.82,83.19,0.98,84.53,0.84
10/15/2021 23:58:00,84.86,0.86,84.17,0.98,85.1,0.57
10/18/2021 23:58:00,84.33,-0.53,83.96,-0.21,86.03,0.93
10/19/2021 23:58:00,85.08,0.75,83.71,-0.25,85.4,-0.63
10/20/2021 23:58:00,85.82,0.74,83.63,-0.08,85.89,0.49
10/21/2021 23:58:00,84.61,-1.21,83.36,-0.27,86.12,0.23
10/22/2021 23:58:00,85.53,0.92,83.83,0.47,85.94,-0.18
10/25/2021 23:58:00,85.99,0.46,85.44,1.61,86.72,0.78
10/26/2021 23:58:00,86.4,0.41,85.28,-0.16,86.53,-0.19
10/27/2021 23:58:00,84.58,-1.82,84.05,-1.23,86.27,-0.26
10/28/2021 23:58:00,75.39,-9.19,82.31,-1.74,84.57,-1.7
10/29/2021 23:58:00,75.11,-0.28,74.61,-7.7,75.77,-8.8
11/01/2021 23:58,75.47,0.36,74.69,0.08,75.56,-0.21
11/02/2021 23:58,75.56,0.09,74.99,0.3,75.7,0.14
11/03/2021 23:58,73.66,-1.9,73.05,-1.94,74.71,-0.99
11/04/2021 23:58,73.44,-0.22,73.21,0.16,75.56,0.85
11/05/2021 23:58,75.38,1.94,73.45,0.24,75.55,-0.01
